game_id,season,week,season_type,team,team_id,conference,home_away,opponent,opponent_conference,opponent_classification,conference_game,neutral_site,points_for,points_allowed,has_team_stats,sacks,def_interceptions,int_return_yards,int_tds,fumbles_recovered,defensive_tds,kick_return_tds,punt_return_tds,tackles_for_loss,passes_deflected,qb_hurries,safeties,has_opponent_stats,opp_fumbles_lost,opp_ints_thrown
401403854,2022,1,regular,Alabama,333,SEC,home,Utah State,Mountain West,fbs,False,False,55,0,True,0,0,0,0,0,0,0,0,5,3,4,0,True,0,0
401403855,2022,1,regular,Arkansas,8,SEC,home,Cincinnati,American Athletic,fbs,False,False,31,24,True,3,1,51,0,2,0,0,0,8,2,4,0,True,1,1
401403856,2022,1,regular,Auburn,2,SEC,home,Mercer,Southern,fcs,False,False,42,16,True,1,0,0,0,0,0,0,0,3,5,5,0,True,0,0
401403857,2022,1,regular,Florida,57,SEC,home,Utah,Pac-12,fbs,False,False,29,26,True,0,1,0,0,0,0,0,0,2,2,5,0,True,0,1
401403858,2022,1,regular,Georgia,61,SEC,home,Oregon,Pac-12,fbs,False,True,49,3,True,0,2,22,0,0,0,0,0,3,3,0,0,True,0,2
401405058,2022,1,regular,Illinois,356,Big Ten,home,Wyoming,Mountain West,fbs,False,False,38,6,True,0,1,40,0,1,0,0,0,0,6,0,0,True,1,1
401405061,2022,1,regular,Illinois,356,Big Ten,away,Indiana,Big Ten,fbs,True,False,20,23,True,1,1,22,0,1,0,0,0,6,5,4,0,True,1,1
401405061,2022,1,regular,Indiana,84,Big Ten,home,Illinois,Big Ten,fbs,True,False,23,20,True,3,1,0,0,3,0,0,0,10,2,1,0,True,3,1
401405062,2022,1,regular,Iowa,2294,Big Ten,home,South Dakota State,MVFC,fcs,False,False,7,3,True,4,0,0,0,0,0,0,0,9,8,5,2,True,0,0
401403859,2022,1,regular,Kentucky,96,SEC,home,Miami (OH),Mid-American,fbs,False,False,37,13,True,3,0,0,0,2,1,1,0,4,4,1,0,True,1,0
401403867,2022,1,regular,LSU,99,SEC,away,Florida State,ACC,fbs,False,True,23,24,True,2,0,0,0,1,0,0,0,4,3,0,0,True,1,0
401405066,2022,1,regular,Maryland,120,Big Ten,home,Buffalo,Mid-American,fbs,False,False,31,10,True,4,0,0,0,0,0,0,0,7,8,0,0,True,0,0
401405067,2022,1,regular,Michigan,130,Big Ten,home,Colorado State,Mountain West,fbs,False,False,51,7,True,7,1,37,0,2,1,0,0,11,0,1,0,True,1,1
401416591,2022,1,regular,Michigan State,127,Big Ten,home,Western Michigan,Mid-American,fbs,False,False,35,13,True,7,0,0,0,4,0,0,0,11,6,2,0,True,2,0
401405060,2022,1,regular,Minnesota,135,Big Ten,home,New Mexico State,FBS Independents,fbs,False,False,38,0,True,2,1,0,0,0,0,0,0,3,2,0,0,True,0,1
401403861,2022,1,regular,Mississippi State,344,SEC,home,Memphis,American Athletic,fbs,False,False,49,23,True,1,0,0,0,2,0,0,0,4,4,1,0,True,1,0
401426537,2022,1,regular,Missouri,142,SEC,home,Louisiana Tech,Conference USA,fbs,False,False,52,24,True,4,3,58,1,0,1,0,0,9,8,2,0,True,0,3
401405059,2022,1,regular,Nebraska,158,Big Ten,away,Northwestern,Big Ten,fbs,True,True,28,31,True,1,0,0,0,1,0,0,0,2,4,1,0,True,1,0
